id_ente,municipio,ano,registros
4200051,Abdon Batista,2013,579
4200051,Abdon Batista,2014,0
4200051,Abdon Batista,2015,777
4200051,Abdon Batista,2016,795
4200051,Abdon Batista,2017,1032
4200051,Abdon Batista,2018,1038
4200051,Abdon Batista,2019,1146
4200051,Abdon Batista,2020,1204
4200051,Abdon Batista,2021,1177
4200051,Abdon Batista,2022,1260
4200051,Abdon Batista,2023,1256
4200051,Abdon Batista,2024,1246
4200101,Abelardo Luz,2013,528
4200101,Abelardo Luz,2014,639
4200101,Abelardo Luz,2015,687
4200101,Abelardo Luz,2016,716
4200101,Abelardo Luz,2017,769
4200101,Abelardo Luz,2018,767
4200101,Abelardo Luz,2019,869
4200101,Abelardo Luz,2020,909
4200101,Abelardo Luz,2021,856
4200101,Abelardo Luz,2022,889
4200101,Abelardo Luz,2023,1079
4200101,Abelardo Luz,2024,911
4200200,Agrolândia,2013,631
4200200,Agrolândia,2014,695
4200200,Agrolândia,2015,769
4200200,Agrolândia,2016,776
4200200,Agrolândia,2017,946
4200200,Agrolândia,2018,965
4200200,Agrolândia,2019,974
4200200,Agrolândia,2020,1030
4200200,Agrolândia,2021,996
4200200,Agrolândia,2022,1083
4200200,Agrolândia,2023,1125
4200200,Agrolândia,2024,1178
4200309,Agronômica,2013,433
4200309,Agronômica,2014,0
4200309,Agronômica,2015,567
4200309,Agronômica,2016,572
4200309,Agronômica,2017,621
4200309,Agronômica,2018,539
4200309,Agronômica,2019,610
4200309,Agronômica,2020,771
4200309,Agronômica,2021,764
4200309,Agronômica,2022,782
4200309,Agronômica,2023,886
4200309,Agronômica,2024,990
4200408,Água Doce,2013,663
4200408,Água Doce,2014,0
4200408,Água Doce,2015,805
4200408,Água Doce,2016,897
4200408,Água Doce,2017,1007
4200408,Água Doce,2018,1045
4200408,Água Doce,2019,1046
4200408,Água Doce,2020,1072
4200408,Água Doce,2021,1101
4200408,Água Doce,2022,1220
4200408,Água Doce,2023,1381
4200408,Água Doce,2024,1287
4200507,Águas de Chapecó,2013,505
4200507,Águas de Chapecó,2014,572
4200507,Águas de Chapecó,2015,592
4200507,Águas de Chapecó,2016,630
4200507,Águas de Chapecó,2017,777
4200507,Águas de Chapecó,2018,804
4200507,Águas de Chapecó,2019,1013
4200507,Águas de Chapecó,2020,913
4200507,Águas de Chapecó,2021,863
4200507,Águas de Chapecó,2022,1016
4200507,Águas de Chapecó,2023,1082
4200507,Águas de Chapecó,2024,1131
4200556,Águas Frias,2013,406
4200556,Águas Frias,2014,523
4200556,Águas Frias,2015,593
4200556,Águas Frias,2016,609
4200556,Águas Frias,2017,585
4200556,Águas Frias,2018,595
4200556,Águas Frias,2019,657
4200556,Águas Frias,2020,640
4200556,Águas Frias,2021,630
4200556,Águas Frias,2022,689
4200556,Águas Frias,2023,764
4200556,Águas Frias,2024,840
4200606,Águas Mornas,2013,603
4200606,Águas Mornas,2014,561
4200606,Águas Mornas,2015,690
4200606,Águas Mornas,2016,682
4200606,Águas Mornas,2017,799
4200606,Águas Mornas,2018,935
4200606,Águas Mornas,2019,944
4200606,Águas Mornas,2020,910
4200606,Águas Mornas,2021,897
4200606,Águas Mornas,2022,873
4200606,Águas Mornas,2023,1071
4200606,Águas Mornas,2024,1000
4200705,Alfredo Wagner,2013,549
4200705,Alfredo Wagner,2014,588
4200705,Alfredo Wagner,2015,683
4200705,Alfredo Wagner,2016,706
4200705,Alfredo Wagner,2017,930
4200705,Alfredo Wagner,2018,838
4200705,Alfredo Wagner,2019,865
4200705,Alfredo Wagner,2020,808
4200705,Alfredo Wagner,2021,1020
4200705,Alfredo Wagner,2022,1544
4200705,Alfredo Wagner,2023,921
4200705,Alfredo Wagner,2024,980
4200754,Alto Bela Vista,2013,599
4200754,Alto Bela Vista,2014,689
4200754,Alto Bela Vista,2015,796
4200754,Alto Bela Vista,2016,730
4200754,Alto Bela Vista,2017,901
4200754,Alto Bela Vista,2018,953
4200754,Alto Bela Vista,2019,988
4200754,Alto Bela Vista,2020,1022
4200754,Alto Bela Vista,2021,720
4200754,Alto Bela Vista,2022,999
4200754,Alto Bela Vista,2023,1314
4200754,Alto Bela Vista,2024,1322
4200804,Anchieta,2013,727
4200804,Anchieta,2014,806
4200804,Anchieta,2015,900
4200804,Anchieta,2016,916
4200804,Anchieta,2017,1095
4200804,Anchieta,2018,1164
4200804,Anchieta,2019,1216
4200804,Anchieta,2020,1262
4200804,Anchieta,2021,1189
4200804,Anchieta,2022,1387
4200804,Anchieta,2023,1497
4200804,Anchieta,2024,1373
4200903,Angelina,2013,636
4200903,Angelina,2014,735
4200903,Angelina,2015,736
4200903,Angelina,2016,707
4200903,Angelina,2017,835
4200903,Angelina,2018,687
4200903,Angelina,2019,860
4200903,Angelina,2020,880
4200903,Angelina,2021,830
4200903,Angelina,2022,961
4200903,Angelina,2023,1015
4200903,Angelina,2024,1047
4201000,Anita Garibaldi,2013,544
4201000,Anita Garibaldi,2014,547
4201000,Anita Garibaldi,2015,629
4201000,Anita Garibaldi,2016,620
4201000,Anita Garibaldi,2017,901
4201000,Anita Garibaldi,2018,1075
4201000,Anita Garibaldi,2019,1130
4201000,Anita Garibaldi,2020,1193
4201000,Anita Garibaldi,2021,1152
4201000,Anita Garibaldi,2022,1227
4201000,Anita Garibaldi,2023,1339
4201000,Anita Garibaldi,2024,1299
4201109,Anitápolis,2013,669
4201109,Anitápolis,2014,592
4201109,Anitápolis,2015,797
4201109,Anitápolis,2016,825
4201109,Anitápolis,2017,1055
4201109,Anitápolis,2018,970
4201109,Anitápolis,2019,1033
4201109,Anitápolis,2020,1141
4201109,Anitápolis,2021,1143
4201109,Anitápolis,2022,1149
4201109,Anitápolis,2023,1237
